Sage County Level					GADM			
CountryNameList	RegionList	ContinentList	NoCommaName	Sage3	NAME_ENGLI	ISO	NAME_ISO	NAME_FAO
Afghanistan	Mest_Africa	Asia	Afghanistan	AFG	Afghanistan	AFG	AFGHANISTAN	Afghanistan
					Aland	ALA	ALAND ISLANDS	
Albania	Eur_Rus	Europe	Albania	ALB	Albania	ALB	ALBANIA	Albania
Algeria	Mest_Africa	Africa	Algeria	DZA	Algeria	DZA	ALGERIA	Algeria
American Samoa	Asia	Oceania	American Samoa	ASM	American Samoa	ASM	AMERICAN SAMOA	American Samoa
Andorra	Eur_Rus	Europe	Andorra	AND	Andorra	AND	ANDORRA	Andorra
Angola	Mest_Africa	Africa	Angola	AGO	Angola	AGO	ANGOLA	Angola
Anguilla	Namer	North America	Anguilla	AIA	Anguilla	AIA	ANGUILLA	
					Antarctica	ATA	ANTARCTICA	
Antigua and Barbuda	Samer	Caribbean	Antigua and Barbuda	ATG	Antigua and Barbuda	ATG	ANTIGUA AND BARBUDA	Antigua and Barbuda
Argentina	Samer	South America	Argentina	ARG	Argentina	ARG	ARGENTINA	Argentina
Armenia	Mest_Africa	Asia	Armenia	ARM	Armenia	ARM	ARMENIA	Armenia
Aruba	Samer	Caribbean	Aruba	ARU	Aruba	ABW	ARUBA	Aruba
Australia	Aust_NZ	Australia	Australia	AUS	Australia	AUS	AUSTRALIA	Australia
Austria	Eur_Rus	Europe	Austria	AUT	Austria	AUT	AUSTRIA	Austria
Azerbaijan, Republic of	Mest_Africa	Asia	Republic of Azerbaijan	AZE	Azerbaijan	AZE	AZERBAIJAN	Azerbaijan, Republic of
Bahamas	Samer	Caribbean	Bahamas	BHA	Bahamas	BHS	BAHAMAS	Bahamas
Bahrain	Mest_Africa	Asia	Bahrain	BHR	Bahrain	BHR	BAHRAIN	Bahrain
Bangladesh	Asia	Asia	Bangladesh	BGD	Bangladesh	BGD	BANGLADESH	Bangladesh
Barbados	Samer	Caribbean	Barbados	BAR	Barbados	BRB	BARBADOS	Barbados
Belarus	Eur_Rus	Europe	Belarus	BLR	Belarus	BLR	BELARUS	Belarus
Belgium	Eur_Rus	Europe	Belgium	BEL	Belgium	BEL	BELGIUM	Belgium
Belize	Samer	Central Ameri	Belize	BZE	Belize	BLZ	BELIZE	Belize
Benin	Mest_Africa	Africa	Benin	BEN	Benin	BEN	BENIN	Benin
Bermuda	Namer	North America	Bermuda	BMU	Bermuda	BMU	BERMUDA	Bermuda
Bhutan	Asia	Asia	Bhutan	BNT	Bhutan	BTN	BHUTAN	Bhutan
Bolivia	Samer	South America	Bolivia	BOL	Bolivia	BOL	BOLIVIA	Bolivia
Bosnia and Herzegovina	Eur_Rus	Europe	Bosnia and Herzegovina	BIH	Bosnia and Herzegovina	BIH	BOSNIA AND HERZEGOVINA	Bosnia and Herzegovina
Botswana	Mest_Africa	Africa	Botswana	BWA	Botswana	BWA	BOTSWANA	Botswana
					Bouvet Island	BVT	BOUVET ISLAND	
Brazil	Samer	South America	Brazil	BRA	Brazil	BRA	BRAZIL	Brazil
British Indian Ocean Ter	Mest_Africa	Asia	British Indian Ocean Ter	IOT	British Indian Ocean Territory	IOT	BRITISH INDIAN OCEAN TERRITORY	
British Virgin Islands	Samer	Caribbean	British Virgin Islands	BVI	British Virgin Islands	VGB	VIRGIN ISLANDS, BRITISH	British Virgin Islands
Brunei Darussalam	Asia	Asia	Brunei Darussalam	BRN	Brunei	BRN	BRUNEI DARUSSALAM	Brunei Darussalam
Bulgaria	Eur_Rus	Europe	Bulgaria	BGR	Bulgaria	BGR	BULGARIA	Bulgaria
Burkina Faso	Mest_Africa	Africa	Burkina Faso	BFA	Burkina Faso	BFA	BURKINA FASO	Burkina Faso
Burundi	Mest_Africa	Africa	Burundi	BDI	Burundi	BDI	BURUNDI	Burundi
Cote d'Ivoire	Mest_Africa	Africa	Cote d'Ivoire	CIV	Cote d'Ivoire	CIV	COTE D'IVOIRE	Cote d'Ivoire
Cambodia	Asia	Asia	Cambodia	KHM	Cambodia	KHM	CAMBODIA	Cambodia
Cameroon	Mest_Africa	Africa	Cameroon	CMR	Cameroon	CMR	CAMEROON	Cameroon
Canada	Namer	North America	Canada	CAN	Canada	CAN	CANADA	Canada
Cape Verde	Mest_Africa	Africa	Cape Verde	CPV	Cape Verde	CPV	CAPE VERDE	Cape Verde
Cayman Islands	Samer	Caribbean	Cayman Islands	CAY	Cayman Islands	CYM	CAYMAN ISLANDS	Cayman Islands
Central African Republic	Mest_Africa	Africa	Central African Republic	CAF	Central African Republic	CAF	CENTRAL AFRICAN REPUBLIC	Central African Republic
Chad	Mest_Africa	Africa	Chad	TCD	Chad	TCD	CHAD	Chad
Chile	Samer	South America	Chile	CHL	Chile	CHL	CHILE	Chile
China	Asia	Asia	China	CHN	China	CHN	CHINA	China
Christmas Island	Asia	Asia	Christmas Island	CXR	Christmas Island	CXR	CHRISTMAS ISLAND	
Cocos (Keeling) Island	Asia	Oceania	Cocos (Keeling) Island	CCK	Cocos Islands	CCK	COCOS (KEELING) ISLANDS	
Colombia	Samer	South America	Colombia	COL	Colombia	COL	COLOMBIA	Colombia
Comoros	Mest_Africa	Africa	Comoros	COM	Comoros	COM	COMOROS	Comoros
Congo, Dem Republic of	Mest_Africa	Africa	Dem Republic of Congo	ZAR	Democratic Republic of the Congo	COD	CONGO, THE DEMOCRATIC REPUBLIC OF THE	Congo, Dem Republic of
